id_n,weight,Year,GROSS_INCOME,CONS_Food1,CONS_Food2,CONS_Alcohol_Tobacco,CONS_Clothing_Footwear,CONS_Housing,CONS_Hhold_Goods_Services,CONS_Health,CONS_Transport,CONS_Communication,CONS_Recreation_Culture,CONS_Education,CONS_Restaurants_Hotels,CONS_Miscellaneous,CONS_Total,CONS_Other,'CONS_Food
41911,80.74,2015,14211.1084,412.13,0,0,1750,840,960,0,384,2232,0,0,312,31711.999512000002,38602.12951,38189.99951,4945.5599999999995
53209,52.46,2015,61317,439.34,0,14972.6304,1600,2940,0,0,57730,2400,0,0,7392,0,87473.97039559999,87034.63039559999,5272.08
35004,80.85,2015,831.9999389999999,389.57,0,3217.2792,1395,240,0,0,384,480,700,0,720,1152,8677.8492,8288.2792,4674.84
49301,171.08,2015,130500,382.36,0,0,0,0,717.5999999999999,192,6336,4800,0,0,384,1654.8000000000002,14466.760000000002,14084.400000000001,4588.32
15404,104.01,2015,70800,361.8567862,0,0,600,1200,0,0,4704,1440,0,1491.9999624000002,2208,12480,24485.856748600003,24123.99996,4342.281434
10614,81.49,2015,18748.84277,346.28,0,376.1856,1700,0,840,0,480,1200,0,114.99999617999998,0,0,5057.465597,4711.1855965800005,4155.36
23409,59.61,2015,2222.680847,329.2,0,0,99.99999999600001,960,0,132,0,480,0,150,0,420,2571.2,2242,3950.3999999999996
13103,81.54,2015,12887.35986,440.55,0,0,0,66600,4788,0,23328,11280,200.00000004000003,3162,120,19125.6,129044.15,128603.6,5286.6
30413,81.57,2015,11686.643554799999,456.7326479,0,0,0,79.9999981,166.8,48,0,960,0,282.0000058,168,526.8,2688.332652,2231.600004,5480.791775
40102,74.34,2015,166636.3594,413.83,0,2337.7248,4600,0,0,4095.9999995999997,27384,480,0,1450.0000307999999,561.5999909,0,41323.15482,40909.32482,4965.96
53503,99.27,2015,14310.81884,489.3483449,0,8144.64,130,360,0,43.199998859999994,0,0,0,0,0,60,9227.188344,8737.839999,5872.180138799999
43701,60.62,2015,120064.6992,450.85,0,0,6360.999999600001,4500,0,680,10752,6360,0,2437.000031,5016,50,36606.85003,36156.000030444004,5410.200000000001
44811,82.23,2015,247863.3516,1227.69,0,18484.148159999997,1900,29808.351731999996,8786.400000000001,728,42666.960011999996,25680,4500,7929.999755999999,7345.1997071999995,1797.6000000000001,150854.3494,149626.6594,14732.28
27502,71.37,2015,13883.2002,356,0,1412.88948,0,0,0,0,0,0,0,0,0,0,1768.88948,1412.88948,4272
30405,81.57,2015,3156.5650631999997,431.16,0,0,0,0,0,12,0,0,0,0,384,0,827.1600000000001,396,5173.92
22503,48.29,2015,75783.35742,1103.7,0,0,2000,2880,166.8,0,4800,1440,0,1069.9999694399999,48,12262.8,25771.299969839998,24667.599969839997,13244.400000000001
59213,47.87,2015,10953.88843,547.66,0,0,350.00000004000003,0,0,2160,4800,960,0,0,0,0,8817.66,8270,6571.92
33604,74.02,2015,43390.74024,408.6217777,0,0,270,2964,0,0,6134.999984399999,1200,1400.0000003999999,0,0,0,12377.621762499999,11968.999984799999,4903.461332
38515,77.3,2015,40118.02734,350.09,0,0,470,0,0,24,2856,1200,0,500.00001528000007,240,190.8,5830.890015,5480.800015,4201.08
57801,84.27,2015,25448.733395999996,561.12,0,0,0,0,0,2880,0,0,0,0,0,0,3441.12,2880,6733.4400000000005
40713,45.35,2015,23564.10059,388.92,0,4937.0292,1200,0,10360,99.99999999600001,5472,2520,3159.9999995999997,0,1608,2898,32643.9492,32255.0292,4667.04
48006,71.28,2015,36065.59571,850.5091005,0,0,0,0,0,127,3072,720,0,0,349.2000046,0,5118.709105020001,4268.200005,10206.109206000001
11603,59.49,2015,18000,390.18,0,0,1400.0000003999999,0,0,0,768,0,0,0,1560,9792,13910.18,13520,4682.16
45902,79.07,2015,146627.1797,409.16,0,2821.3920000000003,150,0,0,5370,33755,5760,0,0,4896,0,53161.552004000005,52752.392,4909.92
53207,52.46,2015,65652.22266,439.34,0,0,2300.0000004000003,6600,1680,0,0,1200,500,1288.9999692000001,0,0,14008.33997,13568.99997,5272.08
16010,217.14,2015,10800,361.46,0,1550.496,450,0,0,0,0,0,0,0,0,0,2361.956,2000.496,4337.5199999999995
25013,66.39,2015,5899.999878,503.7,0,0,5470,17733.94183,179.2,0,44503.44,7488,1800,0,6133.200028,1508.4,85319.88186,84816.18186,6044.4
27613,101.65,2015,15040.280267999999,356,0,3876.24,705,399.99998471999993,288,0,1440,960,0,208.99999235999996,0,2016,10250.23998,9894.239977,4272
53704,47.28,2015,390.11361695999994,415.17,0,0,2000,2208,0,0,336,2160,0,0,96,0,7215.17,6800,4982.04
24511,87.89,2015,12900.988763999998,382.68,0,0,1200,0,0,111.99999999600001,960,1200,0,239.99999423999998,2158.800018,3600,9853.480012,9470.800012235999,4592.16
39109,62.97,2015,30276.5127,413.83,0,0,1150,4800,0,0,0,4320,0,0,9960,670.8,21314.63,20900.8,4965.96
42906,82.87,2015,50064.08203199999,652.3,0,9714.4728,12900,38981.84672,2600.0000004000003,520,3312,4440,3360,11909.000112000002,384,1582.8000000000002,90356.41963636002,89704.11963636002,7827.599999999999
8202,64.35,2015,0,425.49,0,0,0,0,0,0,0,480,0,0,6768,7416,15089.49,14664,5105.88
4005,120.98,2015,19764,356.53,0,0,1500,3600,0,10764,9216,4080,0,0,3648,0,33164.53,32808,4278.36
2511,71.18,2015,6690.805664,722.95,0,0,8000.000000399999,600,2673.6000000000004,500,10992,960,0,399.99998471999993,1080,2430,28358.54999,27635.59999,8675.400000000001
