,weight,CONS_Total,vatax,table_row
2154,6939.214439708846,208182.06178241063,7574.586477476407,3
10055,1640.3389712028288,208481.74355636066,12580.110621999156,3
7290,814.1182794629115,208489.06413514336,11777.124628705842,3
11293,4800.865898653466,208723.5938007771,12299.477924034367,3
7638,814.1182794629115,209272.7853953334,14945.450381070485,3
12081,4800.8665280564455,209701.94699345127,17292.066235744638,3
13560,517.7007819861022,209753.67076379308,3079.0604907713764,3
6111,4547.623343457116,209960.27588562027,11882.194725701094,3
7821,3272.1324122540395,210255.01080895943,10346.633650548538,3
12060,4800.865898653466,211221.54618968288,11486.35824914405,3
11537,4800.8665280564455,211379.53119385554,10233.989094528179,3
307,2307.802957351234,212246.13432470852,7934.260019106707,3
8355,3272.132160492847,212375.31667899253,10927.771062368054,3
7780,3272.132160492847,212477.75473090634,11996.35945737384,3
12443,4800.8665280564455,212528.96301762096,11175.011078374382,3
13129,2305.327641308141,212891.48940755634,3292.3184836682412,3
12478,1079.7404360090336,214166.60796447852,4547.810484751151,3
7148,4547.623343457116,214225.84204488876,10586.596183258156,3
12464,4800.865898653466,214317.96505463764,8242.666445750077,3
156,2307.802957351234,214366.69436627018,7435.857407746596,3
11389,4800.8665280564455,214487.23878058902,17840.313572706207,3
10916,4800.865898653466,214519.74288708108,8718.798571901223,3
13561,517.7007819861022,214704.40773702614,3285.987968852905,3
13567,517.7007819861022,214865.1204970439,3105.088118247439,3
1009,598.8518860416053,215006.69592740247,12051.629683475807,3
10484,1640.3388453222326,215130.06834217592,14737.431974965446,3
8472,3272.1324122540395,215266.51041474708,2793.1642501698543,3
12493,4800.8665280564455,215626.0316067309,11143.329311457557,3
7567,3272.132160492847,215851.89576962937,8072.7068580935465,3
11281,1079.7404360090336,216191.94492557095,19648.409212767594,3
8296,814.1182794629115,216291.7930302329,10165.540636772774,3
7089,1324.2290027865074,217117.451031343,4009.979353616273,3
10820,4800.8665280564455,217132.92806927452,10519.131279119483,3
246,2307.802957351234,217858.93485183027,15840.018054475622,3
6160,1324.229128667104,217936.776459283,9647.724625159874,3
9682,5442.816405570072,218115.96787543653,9961.73437625639,3
13356,2305.327641308141,218457.40060001423,10322.503432352829,3
2222,2092.9864611806406,218477.6762930885,11142.762458455021,3
12356,4800.8665280564455,218513.56147101033,8308.008899750015,3
10206,5442.816405570072,218739.62430989006,7030.4064455930275,3
11559,4800.8665280564455,219157.78892396126,9820.251589760857,3
10233,5442.816405570072,219238.1542533387,14531.696409581895,3
11959,4800.865898653466,219306.37887404446,12923.240383271477,3
1361,2307.802957351234,219354.63565434594,6718.6864441305015,3
6876,4547.623343457116,219749.86661662842,10925.631859011439,3
9492,5442.816405570072,220109.8764441338,12277.388100635748,3
12575,4800.865898653466,220245.34393047233,10778.757444902161,3
5136,7785.998859758548,220255.43255361344,12157.755984944673,3
